id,name,description,code,quality,freeAwardId,baseAttack,baseMagic,baseHp,baseDefense,attackGrowth,magicGrowth,hpGrowth,defenseGrowth,geniusTypeId,geniusMaxNumber,gallaryIndex,talentTypeId,sort,effectOn,economy,economyAdd,score,enhance,refreshCost,levelLimit,canRefresh,icon,priceStr,
60101,小黄车,大街小巷随处可见的黄色共享单车，方便快捷,TonghuaYlc_car_101,1,1101,17,23,170,230,10,14,109,147,,4,0,,0,0,10,1,1,3000,,30,0,car_101,7:41004:50,
60102,三轮车,高价回收:冰箱，空调，彩电，洗衣机，热水器，煤气灶……,TonghuaYlc_car_102,1,1102,25,34,255,345,15,21,163,221,,4,0,,0,0,15,1,2,3300,,35,0,car_102,7:41004:100,
60103,电动车,雅迪电动车，中国电动车领军品牌！,TonghuaYlc_car_103,1,1103,34,46,340,460,20,28,218,294,,4,0,,0,0,20,1,3,3600,,40,0,car_103,7:41004:200,
60104,摩托,力帆摩托，中国人自己的摩托！,TonghuaYlc_car_104,1,1104,42,57,425,575,26,35,272,368,,4,0,,0,0,25,1,4,3900,,45,0,car_104,7:41004:400,
60105,mini汽车,微型电动车，只有两个座位，价格实惠，体型娇小，轻便灵活,TonghuaYlc_car_105,1,1105,51,69,510,690,31,41,326,442,,4,0,,0,0,30,1,5,4200,,50,0,car_105,7:41004:800,
60201,五菱宏光,动力性和经济性的完美平衡，颠覆了人们对商务车的传统印象,TonghuaYlc_car_201,2,1106,68,92,680,920,36,48,381,515,,4,0,,0,0,35,1,1,4500,,60,0,car_201,7:41004:1600,
60202,甲壳虫,在全世界范围内都具有极强影响力的经典款车型，外形辨认度极高,TonghuaYlc_car_202,2,1107,85,115,850,1150,41,55,435,589,,4,0,,0,0,40,1,2,4800,,65,0,car_202,7:41004:3200,
60203,阿兹特,出色的动力匹配和响应，不俗的底盘质感和转向，造就了这款弯道之王,TonghuaYlc_car_203,2,1108,102,138,1020,1380,46,62,490,662,,4,0,,0,0,45,1,3,5100,,70,0,car_203,7:41004:6400,
60204,ATSL,外观时尚，用料扎实，提速毫不犹豫，加速绝不拖泥带水！,TonghuaYlc_car_204,2,1109,119,161,1190,1610,51,69,544,736,,4,0,,0,0,50,2,4,5400,,75,0,car_204,7:41004:12800,
60205,揽胜极光,以十分靓丽的外形而出名的“最美SUV”，但是它却并不是一个花瓶,TonghuaYlc_car_205,2,1110,136,184,1360,1840,56,76,598,810,,4,0,,0,0,55,2,5,5700,,80,0,car_205,7:41004:25600,
60301,迪奥TT,以和概念车版相同的漂亮外形，出色的性能在市场上取得了很大的成功,TonghuaYlc_car_301,3,1111,204,276,2040,2760,61,83,653,883,,4,0,,0,0,60,2,1,6000,,90,0,car_301,7:41004:51200,
60302,捷豹,该车运用最先进的捷豹刚性轻型铝架构，完美地平衡了重量分配,TonghuaYlc_car_302,3,1112,272,368,2720,3680,66,90,707,957,,4,0,,0,0,65,2,2,6300,,95,0,car_302,7:41004:60000,
60303,特拉斯,世界著名的新能源汽车品牌，为了纪念物理学家尼古拉·特斯拉而得名,TonghuaYlc_car_303,3,1113,340,460,3400,4600,71,97,762,1030,,4,0,,0,0,70,2,3,6600,,100,0,car_303,7:41004:80000,
60304,宝马640,彰显了GT赛车的核心理念，综合了运动跑车和豪华房车的优点于一身,TonghuaYlc_car_304,3,1114,408,552,4080,5520,77,104,816,1104,,4,0,,0,0,75,2,4,6900,,105,0,car_304,7:41004:100000,
60305,GTR,高性能高可靠性的大马力跑车，是当今世界上性价比最高的超级跑车,TonghuaYlc_car_305,3,1115,476,644,4760,6440,82,110,870,1178,,4,0,,0,0,80,2,5,7200,,110,0,car_305,7:41004:120000,
60401,R8,R8结合了奥迪公司的核心技术，是赛道和公路的领跑者,TonghuaYlc_car_401,4,1116,680,920,6800,9200,87,117,925,1251,,4,0,,0,0,85,3,1,8000,7:41035:80,120,1,car_401,7:41004:140000,
60402,玛莎拉蒂GT,富二代标配，撩妹神器，虽然加速能力略逊，但是优美外形足以弥补,TonghuaYlc_car_402,4,1117,850,1150,8500,11500,92,124,979,1325,,4,0,,0,0,90,3,2,8500,7:41035:90,130,1,car_402,7:41004:160000,
60403,保时捷911,GTS系列是唯一一款将汽车元素与日常可用性完美结合的车型,TonghuaYlc_car_403,4,1118,1020,1380,10200,13800,97,131,1034,1398,,4,0,,0,0,95,3,3,9000,7:41035:100,140,1,car_403,7:41004:180000,
60404,迈凯伦,外形独特别致，拥有自己的特色，是一款马力强劲外表出众的超级跑车,TonghuaYlc_car_404,4,1119,1190,1610,11900,16100,102,138,1088,1472,,4,0,,0,0,100,3,4,9500,7:41035:110,150,1,car_404,7:41004:200000,
60405,兰博基尼,自带兰博基尼品牌加持，拥有强劲发动机的SUV，造型帅气高大威猛,TonghuaYlc_car_405,4,1120,1360,1840,13600,18400,107,145,1142,1546,,4,0,,0,0,105,3,5,10000,7:41035:120,160,1,car_405,7:41004:220000,
60501,阿斯顿马丁,世界著名的传统跑车豪门，拥有其他品牌难以比拟的贵族气质,TonghuaYlc_car_501,5,1121,1700,2300,17000,23000,112,152,1197,1619,,4,0,,0,0,110,3,1,11000,7:41035:240,170,1,car_501,7:41004:240000,
60502,风之子,全球最贵跑车之一，全车采用碳纤维制造，速度极快数量稀少,TonghuaYlc_car_502,5,1122,2040,2760,20400,27600,117,159,1251,1693,,4,0,,0,0,115,3,2,12000,7:41035:270,180,1,car_502,7:41004:260000,
60503,拉法,法拉利的全球限量款跑车，有价无市，被誉为三大神车之一,TonghuaYlc_car_503,5,1123,2380,3220,23800,32200,122,166,1306,1766,,4,0,,0,0,120,4,3,13000,7:41035:300,190,1,car_503,7:41004:280000,
60504,毒药,全球限量3台的兰博基尼超跑，售价接近一亿，是身份和地位的象征,TonghuaYlc_car_504,5,1124,2720,3680,27200,36800,128,173,1360,1840,,4,0,,0,0,125,4,4,14000,7:41035:330,200,1,car_504,7:41004:300000,
60505,布加迪,如艺术品一般优美的超跑品牌，十分的轻盈灵动，注重车辆的完美平衡,TonghuaYlc_car_505,5,1125,3060,4140,30600,41400,133,179,1414,1914,,4,0,,0,0,130,4,5,15000,7:41035:360,200,1,car_505,7:41004:300000,
60601,蝙蝠车,暗夜一般的颜色，拥有极其强劲的性能和流线型的外观，它一直在等待配得上它的主人,TonghuaYlc_car_601,6,1126,3400,4600,34000,46000,143,193,1523,2061,,4,0,,0,0,140,4,5,20000,7:41035:500,220,1,car_601,7:41004:340000,
60602,老爷车,劳斯莱斯的经典款老爷车，充满年代感的古典设计，几乎已经绝版,TonghuaYlc_car_602,6,1127,3400,4600,34000,46000,143,193,1523,2061,,4,0,,0,0,140,4,5,20000,7:41035:500,220,1,car_602,7:41004:340000,