id,name,description,groupID,difficulty,groupName,monsterNum,staminaCost,dailyLimit,coinAward,expAward,stance1,levelMonster,expAwardBoss,coinAwardBoss,battleBefore,battleing,battleAfter,mapId,judge,icon,openTower,monsterId,xianming,linkId,monsterIcon,chapterLevel,commonAward,clearanceAwardString,rareAwardString,spAwardString,
50001,1-1|终南山下,银月告诉你，靠自己的力量爬到终南山顶是试炼的第一步。,1,1,1章|安阳,1,1,1,6,15,11276,friend010,864,500,,,1，2，3,1,1,,,0,1,50001,xiuxian_enemy005_b,1,122001,7:49718:3|7:49780:3|7:49064:1,7:49718:1|7:49780:1|7:49629:1,7:49718:1,
50002,1-2|山中之妖,你登山的脚步惊扰到了山中的妖精，他们纷纷前来阻拦你。,1,1,2章|巨鹿,2,1,1,6,17,11280,friend008,950,505,,,330，331，332，333，334，335，336，337，338，339,2,1,,,0,1,50002,xiuxian_enemy006_b,2,122001,7:49719:3|7:49780:3|7:49064:1,7:49719:1|7:49780:1|7:49630:1,7:49719:1,
50003,1-3|奇异之人,一个修仙者模样的人挡在你的面前，拒绝放你过去。,1,1,2章|巨鹿,2,1,1,6,18,11281,friend009,1037,510,400，401，402,,,3,2,magic009_b,215，388|425，388,0,1,50003,xiuxian_enemy007_b,3,122001,7:49720:3|7:49780:3|7:49064:1,7:49720:1|7:49780:1|7:49631:1,7:49720:1,
50004,1-4|前世因果,修仙者告诉你他的名字是萧凡，他坚持要阻止你上山。,1,1,2章|巨鹿,2,1,1,6,20,11282,friend059,1123,515,,4，5，6,,2,1,,,0,1,50004,xiuxian_enemy004_b,4,122001,7:49721:3|7:49780:3|7:49064:1,7:49721:1|7:49780:1|7:49632:1,7:49721:1,
50005,1-5|后会有期,萧凡好像收到了什么消息，虚招一晃，化作一道金光离开了。,1,1,3章|洛阳,3,1,1,6,21,11286,friend005,1210,520,7，8,,,3,1,,,0,1,50005,xiuxian_enemy019_b,5,122001,14:14010101:1|7:49034:10|7:49064:3,7:49034:1|7:49780:1|7:49629:1,7:49034:1,
50006,2-1|终南大仙,你打败了金蛟化身，顺利通过了终南大仙的试炼。,2,1,3章|洛阳,3,1,1,6,23,11287,friend006,1296,525,,,,3,1,,,0,1,50006,xiuxian_enemy001_b,1,122001,7:49718:3|7:49780:3|7:49064:1,7:49718:1|7:49780:1|7:49630:1,7:49718:1,
50007,2-2|五灵试炼,终南大仙将金蛟一片鳞片赠送于你，并告知你，如果想靠自己修炼，需寻一处僻静之地作为洞府。,2,1,3章|洛阳,3,1,1,6,24,11288,friend011,1382,530,11，12，13,,14，15，16，17，18,3,1,,,0,1,50007,xiuxian_enemy002_b,2,122001,7:49719:3|7:49780:3|7:49064:1,7:49719:1|7:49780:1|7:49631:1,7:49719:1,
50008,2-3|寻找洞府,你带上银月，开始寻找适合修炼之地。,2,1,3章|洛阳,3,1,1,6,26,11289,friend007,1469,535,403，404，405,,406，407，408,3,1,,,0,1,50008,xiuxian_enemy008_b,3,122001,7:49720:3|7:49780:3|7:49064:1,7:49720:1|7:49780:1|7:49632:1,7:49720:1,
50009,2-4|水月洞天,在中州的一处偏僻深山中，你发现一处世外桃源。桃源中，有一奇异瀑布。,2,1,3章|洛阳,3,1,1,6,27,11290,friend016,1555,540,20，21，22,,23，24，25，26，27,5,3,friend144_b,244，382|440，682|440，382|223，682,230000,1,50009,xiuxian_enemy009_b,4,122001,7:49721:3|7:49780:3|7:49064:1,7:49721:1|7:49780:1|7:49629:1,7:49721:1,
50010,2-5|神兽旋龟,你施展分水术，发现瀑布后果然别有洞天，于是打算入内一观。,2,1,4章|界桥,4,1,1,6,29,11292,friend055,1642,545,28，29，340，30,31，32，33,,4,1,,,0,1,50010,xiuxian_enemy017_b,5,122001,14:14020101:1|7:49034:20|7:49064:3,7:49034:1|7:49780:1|7:49630:1,7:49034:1,
50011,3-1|修炼秘诀,你得到了旋龟的认可，成为这座洞府的主人。旋龟在留下一张石板便遁入山中。现在，你可以好好休息一下了。,3,1,4章|界桥,4,1,1,6,30,11293,friend056,1728,550,,,,4,1,,,0,1,50011,xiuxian_enemy003_b,1,122001,7:49718:3|7:49780:3|7:49064:1,7:49718:1|7:49780:1|7:49631:1,7:49718:1,
50012,3-2|五行灵兽,天色微亮，银月已经迫不及待地叫你起床了。,3,1,4章|界桥,4,1,1,9,32,11294,friend057,1814,556,,34，35,,4,1,,,0,1,50012,xiuxian_enemy010_b,2,122001,7:49719:3|7:49780:3|7:49064:1,7:49719:1|7:49780:1|7:49632:1,7:49719:1,
50013,3-3|即刻启程,银月告诉你，应该立刻出发，寻找五灵神兽，通过试炼，以应未来天劫。,3,1,4章|界桥,4,1,1,9,33,11295,friend058,1901,562,,,,4,1,,,0,1,50013,xiuxian_enemy011_b,3,122001,7:49720:3|7:49780:3|7:49064:1,7:49720:1|7:49780:1|7:49629:1,7:49720:1,
50014,3-4|星宿之海,根据银月的指示，离你最近的灵兽应该居住在星宿海，很快就能到达。,3,1,4章|界桥,4,1,1,9,35,11296,friend083,1987,568,409，410，411，412,,36，37，38,4,1,,,0,1,50014,xiuxian_enemy012_b,4,122001,7:49721:3|7:49780:3|7:49064:1,7:49721:1|7:49780:1|7:49630:1,7:49721:1,
50015,3-5|远古鲲兽,守卫星宿海的灵兽是一只巨大的鲲，他从水中浮现响应你的召唤。,3,1,5章|北海,5,1,1,9,36,11302,friend034,2074,574,,,39，40,5,1,,,0,1,50015,xiuxian_enemy020_b,5,122001,14:14030101:1|7:49034:30|7:49064:3,7:49034:1|7:49780:1|7:49631:1,7:49034:1,
50016,4-1|火焰山,通过鲲兽的试炼，下一个目的地是火焰山。,4,1,5章|北海,5,1,11,9,38,11303,friend035,2160,580,,,,5,1,,,0,1,50016,xiuxian_enemy013_b,0,,7:49718:3|7:49780:3|7:49064:1,7:49718:1|7:49780:1|7:49632:1,7:49718:1,
50017,4-2|铁扇公主,前往火焰山深处最大的阻碍，就是沿途无尽的三昧真火，你需要问铁扇公主借芭蕉扇。,4,1,5章|北海,5,1,11,9,39,11304,friend053,2246,586,41，42，43，44，45,,46，47，48，49，50，51，52,1,2,friend140_b,271，721|429，408|429，608,0,1,50017,xiuxian_enemy014_b,0,,7:49719:3|7:49780:3|7:49064:1,7:49719:1|7:49780:1|7:49629:1,7:49719:1,
50018,4-3|一借芭蕉扇,铁扇公主是有名的不好说话，她要求你能接住她的一扇。,4,1,5章|北海,5,1,11,9,41,11305,friend054,2333,592,53，54，55，56，57，58，59，60,61,62，63，416,5,1,,,0,1,50018,xiuxian_enemy015_b,0,,7:49720:3|7:49780:3|7:49064:1,7:49720:1|7:49780:1|7:49630:1,7:49720:1,
50019,4-4|再借芭蕉扇,被扇出百里之远，你花了好一会儿又再次来到芭蕉洞外，铁扇公主这次很痛快便答应借扇子给你。,4,1,5章|北海,5,1,11,9,42,11307,friend043,2419,598,64，65,,66，67，68，69,5,1,,,0,1,50019,xiuxian_enemy016_b,0,,7:49721:3|7:49780:3|7:49064:1,7:49721:1|7:49780:1|7:49631:1,7:49721:1,
50020,4-5|鵸鵌,铁扇公主用芭蕉扇扇走火焰山外面的火，你现在要抓紧时间。,4,1,6章|徐州,6,1,11,9,44,11310,friend003,2506,604,,,,6,1,,,0,2,50020,xiuxian_enemy021_b,0,,14:14040101:1|7:49034:40|7:49064:3,7:49034:1|7:49780:1|7:49632:1,7:49034:1,
50021,5-1|前往长留山,三头神鸟鵸鵌赠送了一支他的羽毛给你，你现在要赶在火焰重燃离开此地前往长留山。,5,1,6章|徐州,6,1,11,9,45,11311,friend004,2592,610,,,,6,1,,,0,2,50021,xiuxian_enemy005_b,0,,7:49718:6|7:49780:6|7:49064:1,7:49718:1|7:49780:1|7:49629:1,7:49718:1,
50022,5-2|拦路妖魔,一路上，你总能遇到一些妖魔的袭击，似乎，预示着什么。,5,1,6章|徐州,6,1,11,9,59,11312,friend061,3370,616,,,,6,1,,,0,2,50022,xiuxian_enemy006_b,0,,7:49719:6|7:49780:6|7:49064:1,7:49719:1|7:49780:1|7:49630:1,7:49719:1,
50023,5-3|萧凡再现,不出意外，萧凡也出现了，但这次他却是出手帮你解围。,5,1,6章|徐州,6,1,11,9,60,11313,friend021,3431,622,,,,6,1,,,0,2,50023,xiuxian_enemy007_b,0,,7:49720:6|7:49780:6|7:49064:1,7:49720:1|7:49780:1|7:49631:1,7:49720:1,
50024,5-4|放下狠话,萧凡临走之时，放下几句狠话，要你不要太早死掉，笑着离开了。,5,1,6章|徐州,6,1,11,12,61,11314,friend022,3492,628,70，71,,,6,1,,,0,2,50024,xiuxian_enemy004_b,0,,7:49721:6|7:49780:6|7:49064:1,7:49721:1|7:49780:1|7:49632:1,7:49721:1,
50025,5-5|穷奇,长留山上，穷奇似乎已经预知了你的到来。,5,1,7章|徐州,7,1,11,12,62,11319,friend069,3553,634,,,,7,1,,,0,2,50025,xiuxian_enemy018_b,0,,14:14010202:1|7:49034:50|7:49064:3,7:49034:1|7:49780:1|7:49629:1,7:49034:1,
50026,6-1|五灵集齐,获得了穷奇之角，你已经集齐了五灵的宝物，这些对你未来的修行都大有助益。,6,1,7章|徐州,7,1,11,12,63,11320,friend101,3614,640,417，418,,,4,2,friend189_b,283，639|325，811|266，486|215，268,0,2,50026,xiuxian_enemy005_b,0,,7:49718:6|7:49780:6|7:49064:1,7:49718:1|7:49780:1|7:49630:1,7:49718:1,
50027,6-2|满载而归,成功收集五灵的你正在返回洞府，却被一群小妖挡住去路。,6,1,7章|徐州,7,1,11,12,64,11321,friend031,3675,646,,,72，73，74，75，76，77，78,7,1,,,0,2,50027,xiuxian_enemy006_b,0,,7:49719:6|7:49780:6|7:49064:1,7:49719:1|7:49780:1|7:49631:1,7:49719:1,
50028,6-3|莫名请柬,他们说是奉了灵蛇大仙之命来请你赴宴，你当然不可能在这个时候被打扰。,6,1,7章|徐州,7,1,11,12,65,11322,friend030,3736,652,79，80，81,,82，83,7,1,,,0,2,50028,xiuxian_enemy007_b,0,,7:49720:6|7:49780:6|7:49064:1,7:49720:1|7:49780:1|7:49632:1,7:49720:1,
50029,6-4|杀出重围,来的妖道数量有点多，你无法完全招架，只能伺机突围。,6,1,7章|徐州,7,1,11,12,66,11323,friend029,3797,659,84，85，87，88,,89，90,7,1,,,0,2,50029,xiuxian_enemy004_b,0,,7:49721:6|7:49780:6|7:49064:1,7:49721:1|7:49780:1|7:49629:1,7:49721:1,
50030,6-5|甩开追兵,确定没有妖道追上来之后，你准备使用土遁回到自己的洞府。,6,1,8章|下邳,8,1,11,12,67,11326,friend078,3858,666,,,,8,1,,,0,2,50030,xiuxian_enemy019_b,0,,14:14020202:1|7:49034:60|7:49064:3,7:49034:1|7:49780:1|7:49630:1,7:49034:1,
50031,7-1|道友留步,你的身后传来一阵打斗的声音，你觉得事情有点不妙。,7,1,8章|下邳,8,1,21,12,68,11327,friend079,3918,673,,91,,8,1,,,0,2,50031,xiuxian_enemy001_b,0,,7:49718:6|7:49780:6|7:49064:1,7:49718:1|7:49780:1|7:49631:1,7:49718:1,
50032,7-2|魔教中人,原来是一群魔教中人在追杀两个正道弟子，那两个年轻弟子眼看不支。,7,1,8章|下邳,8,1,21,12,69,11328,friend067,3979,680,,,,8,1,,,0,2,50032,xiuxian_enemy002_b,0,,7:49719:6|7:49780:6|7:49064:1,7:49719:1|7:49780:1|7:49632:1,7:49719:1,
50033,7-3|强悍魔将,这群魔兵不过尔尔，不过领头的魔将实力不俗，斗法数十回合，你有点力不从心了。,7,1,8章|下邳,8,1,21,12,70,11329,friend068,4040,687,,,92，93，94,8,1,,,0,2,50033,xiuxian_enemy008_b,0,,7:49720:6|7:49780:6|7:49064:1,7:49720:1|7:49780:1|7:49629:1,7:49720:1,
50034,7-4|萧凡相助,之前阻拦过你的萧凡也加入战场，但这次他却帮你击退了魔将。,7,1,8章|下邳,8,1,21,12,71,11330,friend096,4101,694,95，96，97,,98，99，100，101，102,8,1,,,0,2,50034,xiuxian_enemy009_b,0,,7:49721:6|7:49780:6|7:49064:1,7:49721:1|7:49780:1|7:49630:1,7:49721:1,
50035,7-5|点到为止,赶走了魔将之后，萧凡提出要和你切磋一下，点到即止。,7,1,9章|白马,9,1,21,12,72,11333,friend036,4162,701,103，104，105，106,,,9,1,,,0,2,50035,xiuxian_enemy017_b,0,,14:14030102:1|7:49034:70|7:49064:3,7:49034:1|7:49780:1|7:49631:1,7:49034:1,
50036,8-1|突破瓶颈,最近的战斗让你的修炼有些停滞，你想要突破自身的瓶颈还得静心修炼。,8,1,9章|白马,9,1,21,15,73,11334,friend037,4223,708,419，420,,108,6,2,friend125_b,187，494|439，665|144，265|450，388|162，814|452，912,0,2,50036,xiuxian_enemy003_b,0,,7:49718:6|7:49780:6|7:49064:1,7:49718:1|7:49780:1|7:49632:1,7:49718:1,
50037,8-2|新的历险,你感觉到自己的修为提升了很大的境界，身体也摆脱凡尘中的五谷轮回。,8,1,9章|白马,9,1,21,15,74,11335,friend139,4284,715,,,,9,1,,,0,2,50037,xiuxian_enemy010_b,0,,7:49719:6|7:49780:6|7:49064:1,7:49719:1|7:49780:1|7:49629:1,7:49719:1,
50038,8-3|千里传音,你正在沉浸在学习五星遁术，不知不觉已行了很远，突然银月千里传音给你。,8,1,9章|白马,9,1,21,15,75,11336,friend141,4345,722,,109,,9,1,,,0,2,50038,xiuxian_enemy011_b,0,,7:49720:6|7:49780:6|7:49064:1,7:49720:1|7:49780:1|7:49630:1,7:49720:1,
50039,8-4|银月有难,灵蛇大仙的手下发现了你的洞府，想要闯进去。,8,1,9章|白马,9,1,21,15,77,11337,friend081,4406,729,111,,,9,1,,,0,2,50039,xiuxian_enemy012_b,0,,7:49721:6|7:49780:6|7:49064:1,7:49721:1|7:49780:1|7:49631:1,7:49721:1,
50040,8-5|现学现用,你现在已经能很好驾驭土遁之术，很快便回到洞府附近。,8,1,10章|官渡,10,1,21,15,81,11340,friend084,4666,736,113,,,10,1,,,0,2,50040,xiuxian_enemy020_b,0,,14:14040202:1|7:49034:80|7:49064:3,7:49034:1|7:49780:1|7:49632:1,7:49034:1,
50041,9-1|及时赶回,有几个妖道已经进入了你的洞府之内，正在饮酒作乐。,9,1,10章|官渡,10,1,21,15,86,11341,friend085,4925,743,,,114，115,10,1,,,0,2,50041,xiuxian_enemy013_b,0,,7:49718:6|7:49780:6|7:49064:1,7:49718:1|7:49780:1|7:49629:1,7:49718:1,
50042,9-2|人质在手,不知怎么回事，银月被他们领头的人抓住了，被绑在一边，,9,1,10章|官渡,10,1,21,15,90,11342,friend086,5184,750,,,,10,1,,,0,2,50042,xiuxian_enemy014_b,0,,7:49719:6|7:49780:6|7:49064:1,7:49719:1|7:49780:1|7:49630:1,7:49719:1,
50043,9-3|投鼠忌器,你不敢强硬出头，要是他们伤着银月，那就不好了。,9,1,10章|官渡,10,1,21,15,95,11343,friend142,5443,758,,116,,10,1,,,0,2,50043,xiuxian_enemy015_b,0,,7:49720:6|7:49780:6|7:49064:1,7:49720:1|7:49780:1|7:49631:1,7:49720:1,
50044,9-4|瞌睡虫,你趁着那群妖道喝得正酣，幻化出数个瞌睡虫，吹到他们的鼻中。,9,1,10章|官渡,10,1,21,15,99,11344,friend127,5702,766,117，118，119，120,,,10,1,,,0,3,50044,xiuxian_enemy016_b,0,,7:49721:6|7:49780:6|7:49064:1,7:49721:1|7:49780:1|7:49632:1,7:49721:1,
50045,9-5|魔教护法,领头的妖道法力高强，瞌睡虫对他不起作用，不过你已经趁机救出了银月。,9,1,11章|荆州,11,1,21,15,104,11347,friend023,5962,774,121，122，421，422,,,10,2,friend088_b,238，620|400，620|218，873|426，873|238，449|400，449|238，267|400，267,0,3,50045,xiuxian_enemy021_b,0,,14:14010302:1|7:49034:90|7:49064:3,7:49034:1|7:49780:1|7:49629:1,7:49721:1,
50046,10-1|留下活口,上天有好生之德，你答应这群妖道，只要他们说出背后指使之人便放了他们。,10,1,11章|荆州,11,1,21,15,108,11348,friend024,6221,782,,123,,11,1,,,0,3,50046,xiuxian_enemy005_b,0,,7:49718:6|7:49780:6|7:49064:1,7:49718:1|7:49780:1|7:49630:1,7:49721:1,
50047,10-2|洞中有宝,原来这群妖道发现你的洞府附近灵气冲天，即将有宝贝现世。,10,1,11章|荆州,11,1,21,15,113,11349,friend025,6480,790,,,,11,1,,,0,3,50047,xiuxian_enemy006_b,0,,7:49719:6|7:49780:6|7:49064:1,7:49719:1|7:49780:1|7:49631:1,7:49719:1,
50048,10-3|宝物现世,你放走了那群妖道，并警告他们以后不准再作恶。,10,1,11章|荆州,11,1,21,18,117,11350,friend026,6739,798,423，124,,,11,1,,,0,3,50048,xiuxian_enemy007_b,0,,7:49720:6|7:49780:6|7:49064:1,7:49720:1|7:49780:1|7:49632:1,7:49720:1,
50049,10-4|防护结界,你也感应到附近有强大的灵力波动，便循着蛛丝马迹，果然有所发现。,10,1,11章|荆州,11,1,21,18,123,11353,friend060,7085,806,125，126,127，128,,11,1,,,0,3,50049,xiuxian_enemy004_b,0,,7:49721:6|7:49780:6|7:49064:1,7:49721:1|7:49780:1|7:49629:1,7:49721:1,
50050,10-5|出师不利,结界内充斥着迷阵幻象，以你的修为还没办法到达阵眼。,10,1,12章|卧龙岗,12,1,21,18,129,11356,friend008,7430,814,129，130,,,12,1,,,0,3,50050,xiuxian_enemy018_b,0,,14:14020302:1|7:49034:100|7:49064:3,7:49034:1|7:49780:1|7:49630:1,7:49034:1,
50051,11-1|天降奇人,正当你被邪瘴之气缠身之时，一个年轻的道者御剑乘风从天而降。,11,1,12章|卧龙岗,12,1,21,18,135,11357,friend009,7776,822,,,,12,1,,,0,3,50051,xiuxian_enemy005_b,0,,7:49722:3|7:49781:3|7:49064:1,7:49722:1|7:49781:1|7:49631:1,7:49722:1,
50052,11-2|天造地化,道者略施法术，帮你破解了阵中的幻术，剩下的就要靠你自己了。,11,1,12章|卧龙岗,12,1,21,18,141,11358,friend010,8122,830,132，133，134,,,12,1,,,0,3,50052,xiuxian_enemy006_b,0,,7:49723:3|7:49781:3|7:49064:1,7:49723:1|7:49781:1|7:49632:1,7:49723:1,
50053,11-3|混元宝珠,阵眼中有一颗散发强大而特殊气息的珠子，看来确实是个宝贝。,11,1,12章|卧龙岗,12,1,21,18,147,11359,friend032,8467,838,136,,137，138，139,12,1,,,0,3,50053,xiuxian_enemy007_b,0,,7:49724:3|7:49781:3|7:49064:1,7:49724:1|7:49781:1|7:49629:1,7:49724:1,
50054,11-4|蜀山弟子,来人是蜀山派第二十三代弟子，名叫怀素。他叮嘱你一定要保管好这颗宝珠。,11,1,12章|卧龙岗,12,1,21,18,153,11360,friend112,8813,846,,,,12,1,,,0,3,50054,xiuxian_enemy004_b,0,,7:49725:3|7:49781:3|7:49064:1,7:49725:1|7:49781:1|7:49630:1,7:49725:1,
50055,11-5|指点迷津,你想把宝珠赠予怀素，但他说此珠与你有缘，必须由你亲自保管。,11,1,13章|江东,13,1,21,18,159,11363,friend168,9158,854,140，141，142，143,,,13,1,,,0,3,50055,xiuxian_enemy019_b,0,,14:14030302:1|7:49034:110|7:49064:3,7:49034:1|7:49781:1|7:49631:1,7:49034:1,
50056,12-1|望月古堡,怀素告诉你望月堡堡主丹阳真人对世间希宝了解颇深，指点你前去咨询。,12,1,13章|江东,13,1,21,18,165,11364,friend169,9504,863,144，145,,149,13,1,,,0,3,50056,xiuxian_enemy001_b,0,,7:49722:3|7:49781:3|7:49064:1,7:49722:1|7:49781:1|7:49632:1,7:49721:1,
50057,12-2|妖道拦路,在前往望月古堡的路上，有个奇怪的妖道，扬言要你交出银月。,12,1,13章|江东,13,1,21,18,171,11365,friend170,9850,872,150，151，152，153，154,,,13,1,,,0,3,50057,xiuxian_enemy002_b,0,,7:49723:3|7:49781:3|7:49064:1,7:49723:1|7:49781:1|7:49629:1,7:49721:1,
50058,12-3|丹阳真人,终于到达望月堡外，堡主丹阳真人亲自接见了你，并告诉你此珠关乎未来修真界之命运。,12,1,13章|江东,13,1,21,18,177,11366,friend171,10195,881,,155,,13,1,,,0,3,50058,xiuxian_enemy008_b,0,,7:49724:3|7:49781:3|7:49064:1,7:49724:1|7:49781:1|7:49630:1,7:49721:1,
50059,12-4|金光奇遇,未等堡主讲完，外面传来一阵霞光和猛兽的吼叫之声，你跟随堡主一起察看。,12,1,13章|江东,13,1,21,18,189,11369,friend172,10886,890,156,,159,13,1,,,0,3,50059,xiuxian_enemy009_b,0,,7:49725:3|7:49781:3|7:49064:1,7:49725:1|7:49781:1|7:49631:1,7:49725:1,
50060,12-5|古堡神兽,银月仿佛和霞光产生了共鸣，不顾你的召唤，飞向了深山之中。,12,1,14章|赤壁,14,1,21,21,201,11372,friend192,11578,899,,,162，164,14,1,,,0,3,50060,xiuxian_enemy017_b,0,,14:14040302:1|7:49034:120|7:49064:3,7:49034:1|7:49781:1|7:49632:1,7:49034:1,
50061,13-1|询问根源,丹阳真人告诉你，望月堡外的一处深山，居住着一只上古神兽，但已沉睡数百年。,13,1,14章|赤壁,14,1,31,21,213,11373,friend183,12269,908,,165，166,,14,1,,,0,3,50061,xiuxian_enemy003_b,0,,7:49722:3|7:49781:3|7:49064:1,7:49722:1|7:49781:1|7:49629:1,7:49722:1,
50062,13-2|只身上路,望月堡古训，门人不得出堡，你只能孤身一人，踏上找回银月之路。,13,1,14章|赤壁,14,1,31,21,278,11374,friend198,15984,917,,,,14,1,,,0,3,50062,xiuxian_enemy010_b,0,,7:49723:3|7:49781:3|7:49064:1,7:49723:1|7:49781:1|7:49630:1,7:49723:1,
50063,13-3|追寻脚步,堡主古道热肠，画了神兽洞穴的路观图给你，你沿着图中所示，踏入了堡外的群山之中。,13,1,14章|赤壁,14,1,31,21,284,11375,friend197,16373,926,,,,14,1,,,0,3,50063,xiuxian_enemy011_b,0,,7:49724:3|7:49781:3|7:49064:1,7:49724:1|7:49781:1|7:49631:1,7:49724:1,
50064,13-4|遁术难施,山中似有结界，遁术无法施展，只得步行赶路。,13,1,14章|赤壁,14,1,31,21,291,11376,friend193,16762,935,169,170，171,173,14,1,,,0,3,50064,xiuxian_enemy012_b,0,,7:49725:3|7:49781:3|7:49064:1,7:49725:1|7:49781:1|7:49632:1,7:49725:1,
50065,13-5|野兽凶猛,山中野兽凶猛，常人难以抵御，怪不得先人指示堡中之人不得出堡。,13,1,15章|华容道,15,1,31,21,298,11379,friend113,17150,944,295，296，297,,,15,1,,,0,3,50065,xiuxian_enemy020_b,0,,14:14010403:1|7:49034:130|7:49064:3,7:49034:1|7:49781:1|7:49629:1,7:49034:1,
50066,14-1|怪异蠃鱼,野兽虽然凶猛，对你来说并无威胁。但一种长翅膀的怪鱼挡住了你的去路。,14,1,15章|华容道,15,1,31,21,305,11380,friend114,17539,953,,,,15,1,,,0,3,50066,xiuxian_enemy013_b,0,,7:49722:3|7:49781:3|7:49064:1,7:49722:1|7:49781:1|7:49630:1,7:49722:1,
50067,14-2|安营生火,夜幕降临，你在山中生火休息，暗中似乎有许多眼睛在盯着你。,14,1,15章|华容道,15,1,31,21,311,11381,friend115,17928,963,,,,15,1,,,0,3,50067,xiuxian_enemy014_b,0,,7:49723:3|7:49781:3|7:49064:1,7:49723:1|7:49781:1|7:49631:1,7:49723:1,
50068,14-3|无名烈焰,一夜无事，清晨继续赶，很快便到了路洞口被一团火焰所堵住，异常炽热，难以进入。,14,1,15章|华容道,15,1,31,21,318,11382,friend070,18317,973,,,,15,1,,,0,4,50068,xiuxian_enemy015_b,0,,7:49724:3|7:49781:3|7:49064:1,7:49724:1|7:49781:1|7:49632:1,7:49724:1,
